dateUpdated,province,city,latitude,longitude,name,reviews.date,reviews.rating
2019-05-20T23:55:47Z,CA,Goleta,34.44178,-119.81979,Best Western Plus South Coast Inn,2018-01-01T00:00:00.000Z,3
2019-05-20T23:31:56Z,CA,Carmel by the Sea,36.55722,-121.92194,Best Western Carmel's Town House Lodge,2016-04-02T00:00:00Z,4
2019-05-20T23:31:56Z,CA,Carmel by the Sea,36.55722,-121.92194,Best Western Carmel's Town House Lodge,2016-01-06T00:00:00Z,3
2019-05-20T23:31:56Z,CA,Carmel by the Sea,36.55722,-121.92194,Best Western Carmel's Town House Lodge,2016-08-22T00:00:00Z,5
2019-05-20T23:31:56Z,CA,Carmel by the Sea,36.55722,-121.92194,Best Western Carmel's Town House Lodge,2016-03-21T00:00:00Z,2
2019-05-20T23:28:44Z,KY,Lexington,38.047014,-84.497742,21c Museum Hotel Lexington,2016-03-15T00:00:00Z,4
2019-05-20T23:28:44Z,KY,Lexington,38.047014,-84.497742,21c Museum Hotel Lexington,2016-04-18T00:00:00Z,1
2019-05-20T23:28:32Z,KY,Russell Springs,37.065296,-85.07358,Springs Motel LLC,2015-08-13T00:00:00.000Z,1
2019-05-20T23:27:06Z,KY,Lexington,38.0421,-84.4271,Microtel Inn Suites By Wyndham Lexington,2017-06-15T00:00:00.000Z,5
2019-05-20T23:26:47Z,KY,Hopkinsville,36.889,-87.4813,American Inn,2014-07-15T00:00:00Z,1
2019-05-20T23:26:33Z,KY,Lexington,38.01243,-84.51635,Hampton Inn Lexington Medical Center,2016-07-06T00:00:00Z,5
2019-05-20T23:10:15Z,CA,Carpinteria,34.40507,-119.53119,Motel 6 Santa Barbara - Carpinteria North,2017-11-11T00:00:00.000Z,3
2019-05-20T23:08:26Z,CA,Redwood City,37.4777,-122.2249,Comfort Inn,2016-04-20T00:00:00Z,5
2019-05-20T21:40:08Z,LA,New Orleans,29.949125,-90.069748,The Whitney Hotel,2015-06-29T00:00:00.000Z,3
2019-05-20T21:40:08Z,LA,New Orleans,29.949125,-90.069748,The Whitney Hotel,2018-09-05T00:00:00.000Z,5
2019-05-20T21:40:08Z,LA,New Orleans,29.949125,-90.069748,The Whitney Hotel,2016-11-07T00:00:00.000Z,2
2019-05-20T21:40:08Z,LA,New Orleans,29.949125,-90.069748,The Whitney Hotel,2016-07-02T00:00:00.000Z,4
2019-05-20T21:40:08Z,LA,New Orleans,29.949125,-90.069748,The Whitney Hotel,2017-10-03T00:00:00.000Z,4
2019-05-20T21:40:08Z,LA,New Orleans,29.949125,-90.069748,The Whitney Hotel,2015-10-13T00:00:00.000Z,3
2019-05-20T21:40:08Z,LA,New Orleans,29.949125,-90.069748,The Whitney Hotel,2016-06-08T00:00:00.000Z,4
2019-05-20T21:40:08Z,LA,New Orleans,29.949125,-90.069748,The Whitney Hotel,2015-05-04T00:00:00.000Z,5
2019-05-20T21:40:08Z,LA,New Orleans,29.949125,-90.069748,The Whitney Hotel,2016-06-18T00:00:00.000Z,4
2019-05-20T21:40:08Z,LA,New Orleans,29.949125,-90.069748,The Whitney Hotel,2016-10-30T00:00:00.000Z,5
2019-05-20T21:40:08Z,LA,New Orleans,29.949125,-90.069748,The Whitney Hotel,2015-01-09T00:00:00.000Z,4
2019-05-20T21:40:08Z,LA,New Orleans,29.949125,-90.069748,The Whitney Hotel,2015-12-22T00:00:00.000Z,5
2019-05-20T21:40:08Z,LA,New Orleans,29.949125,-90.069748,The Whitney Hotel,2015-05-14T00:00:00.000Z,4
2019-05-20T21:40:08Z,LA,New Orleans,29.949125,-90.069748,The Whitney Hotel,2016-10-31T00:00:00.000Z,1
2019-05-20T21:40:08Z,LA,New Orleans,29.949125,-90.069748,The Whitney Hotel,2015-09-21T00:00:00.000Z,2
2019-05-20T21:40:08Z,LA,New Orleans,29.949125,-90.069748,The Whitney Hotel,2017-12-17T00:00:00.000Z,2
2019-05-20T21:40:08Z,LA,New Orleans,29.949125,-90.069748,The Whitney Hotel,2014-08-06T00:00:00.000Z,5
2019-05-20T21:40:08Z,LA,New Orleans,29.949125,-90.069748,The Whitney Hotel,2017-01-01T00:00:00.000Z,1
2019-05-20T21:40:08Z,LA,New Orleans,29.949125,-90.069748,The Whitney Hotel,2015-09-30T00:00:00.000Z,2
2019-05-20T21:40:08Z,LA,New Orleans,29.949125,-90.069748,The Whitney Hotel,2016-01-22T00:00:00.000Z,5
2019-05-20T21:40:08Z,LA,New Orleans,29.949125,-90.069748,The Whitney Hotel,2016-11-11T00:00:00.000Z,5
2019-05-20T21:40:08Z,LA,New Orleans,29.949125,-90.069748,The Whitney Hotel,2018-04-26T00:00:00.000Z,1
2019-05-20T21:40:08Z,LA,New Orleans,29.949125,-90.069748,The Whitney Hotel,2015-10-19T00:00:00.000Z,4
2019-05-20T21:40:08Z,LA,New Orleans,29.949125,-90.069748,The Whitney Hotel,2015-10-20T00:00:00.000Z,1
2019-05-20T21:40:08Z,LA,New Orleans,29.949125,-90.069748,The Whitney Hotel,2015-04-23T00:00:00.000Z,5
2019-05-20T21:40:08Z,LA,New Orleans,29.949125,-90.069748,The Whitney Hotel,2018-04-26T00:00:00.000Z,4
2019-05-20T21:40:08Z,LA,New Orleans,29.949125,-90.069748,The Whitney Hotel,2017-10-02T00:00:00.000Z,2
2019-05-20T21:40:08Z,LA,New Orleans,29.949125,-90.069748,The Whitney Hotel,2016-11-19T00:00:00.000Z,5
2019-05-20T21:40:08Z,LA,New Orleans,29.949125,-90.069748,The Whitney Hotel,2016-09-30T00:00:00.000Z,4
2019-05-20T21:40:08Z,LA,New Orleans,29.949125,-90.069748,The Whitney Hotel,2016-05-02T00:00:00.000Z,4
2019-05-20T21:40:08Z,LA,New Orleans,29.949125,-90.069748,The Whitney Hotel,2015-07-06T00:00:00.000Z,5
2019-05-20T21:40:08Z,LA,New Orleans,29.949125,-90.069748,The Whitney Hotel,2014-04-06T00:00:00.000Z,4
2019-05-20T21:40:08Z,LA,New Orleans,29.949125,-90.069748,The Whitney Hotel,2017-05-22T00:00:00.000Z,3
2019-05-20T21:40:08Z,LA,New Orleans,29.949125,-90.069748,The Whitney Hotel,2016-05-27T00:00:00.000Z,4
2019-05-20T21:40:08Z,LA,New Orleans,29.949125,-90.069748,The Whitney Hotel,2016-03-30T00:00:00.000Z,5
2019-05-20T21:40:08Z,LA,New Orleans,29.949125,-90.069748,The Whitney Hotel,2015-03-18T00:00:00.000Z,4
2019-05-20T21:40:08Z,LA,New Orleans,29.949125,-90.069748,The Whitney Hotel,2015-09-01T00:00:00.000Z,5
2019-05-20T21:40:08Z,LA,New Orleans,29.949125,-90.069748,The Whitney Hotel,2018-04-28T00:00:00.000Z,2
2019-05-20T21:40:08Z,LA,New Orleans,29.949125,-90.069748,The Whitney Hotel,2016-06-28T00:00:00.000Z,5
